euro;year;emission;a;b;c
3;2005;CO2;0,3322;-42,538;1947,2
3;2005;NOx;0,0033;-0,4526;19,794
3;2005;PM;8,00E-05;-0,0098;0,4125
3;2005;HC;0,0002;-0,0258;1,0643
3;2005;FC;0,1046;-13,398;613,29
3;2010;CO2;0,3322;-42,538;1947,2
3;2010;NOx;0,0033;-0,4526;19,794
3;2010;PM;8,00E-05;-0,0098;0,4123
3;2010;HC;0,0002;-0,0258;1,0643
3;2010;FC;0,1046;-13,398;613,29
3;2015;CO2;0,3322;-42,538;1947,2
3;2015;NOx;0,0033;-0,4526;19,794
3;2015;PM;8,00E-05;-0,0098;0,4123
3;2015;HC;0,0002;-0,0258;1,0643
3;2015;FC;0,1046;-13,398;613,29
3;2020;CO2;0,3322;-42,538;1947,2
3;2020;NOx;0,0033;-0,4526;19,794
3;2020;PM;8,00E-05;-0,0098;0,4123
3;2020;HC;0,0002;-0,0258;1,0643
3;2020;FC;0,1046;-13,398;613,29
5;2010;CO2;0,2452;-31,396;1574,1
5;2010;NOx;0,0031;-0,4244;16,313
5;2010;PM;2,00E-05;-0,0023;0,1087
5;2010;HC;1,00E-05;-0,0014;0,0623
5;2010;FC;0,0772;-9,8885;495,79
5;2015;CO2;0,2452;-31,396;1574,1
5;2015;NOx;0,0031;-0,4244;16,313
5;2015;PM;2,00E-05;-0,0023;0,1087
5;2015;HC;1,00E-05;-0,0014;0,0623
5;2015;FC;0,0772;-9,8885;495,79
5;2020;CO2;0,2452;-31,396;1574,1
5;2020;NOx;0,0031;-0,4244;16,313
5;2020;PM;2,00E-05;-0,0023;0,1087
5;2020;HC;1,00E-05;-0,0014;0,0623
5;2020;FC;0,0772;-9,8885;495,79
6;2015;CO2;0,2519;-32,314;1623,6
6;2015;NOx;0,0002;-0,0273;1,0339
6;2015;PM;2,00E-06;-0,0003;0,0112
6;2015;HC;1,00E-05;-0,0018;0,0802
6;2015;FC;0,0793;-10,178;511,38
6;2020;CO2;0,2519;-32,314;1623,6
6;2020;NOx;0,0002;-0,0273;1,0339
6;2020;PM;2,00E-06;-0,0003;0,0112
6;2020;HC;1,00E-05;-0,0018;0,0802
6;2020;FC;0,0793;-10,178;511,38
